Code,Description,Quantite
ENMARMMETA,ARMOIRE EN METALE,0
ENMARMBOIS,ARMOIRE EN BOIS,0
ENMDATASHO,DATA SHOW,0
ENMDASHMIR,SUPPORT MIRROIR DATA SHOW,0
ENMPC003,PC ALL IN ONE HP,0
ENMCHACAN,CHAISE CONTINE,0
ENMTABCAN,TABLE CONTINE,0
ENMBANC,BANC,0
ENMTBLMAG,TABLEAU MAGIQUE,0
ENMTBLAFF,TABLEAU D'AFFICHAGE,0
ENMTAB001,TABLE MONOPLACE,0
ENMCHA001,CHAISE FORMICA,0
ENMECRHP,ECRAN ORDINATEUR HP,0
ENMUNTHP,UNITé CENTRALE HP,0
ENMCLAV,CLAVIER,0
ENMSOUR,SOURIS,0
ENMTAB002,TABLE EN BOIS,0
ENMCHA002,CHAISE EN BOIS,0
ENMTABM1,TABLE MAITRE,0
ENMPC001,PC ALL IN ONE THINKCENTER,0
ENMTBLBOI,TABLEAU EN BOIS,0
ENMPC002,PC  ALL IN ONE LENOVO,0
ENMTEL,TELEPHONE FIX,0
ENMPHOTOCO,PHOTOCOPIE SHARP,0
ENMTABPREP,TABLE PREPARATOIRE,0
ENMCHAPREP,CHAISE PREPARATOIRE,0
ENMPOUB,POUBELLE,0
ENMCHAROU,CHAISE ROULANT,0
ENMCHAVIS,CHAISE VISITEUR,0
ENMBUREAU,BUREAU,0
ADMTABBASE,TABLE BASE,0
ADMSALCUIR,SALLON CUIRE,0
ADMTAB001,TABLE MONOPLACE,0
ADMPC002,PC ALL IN ONE LENOVO,0
ADMTELFIX,TELEPHONE FIX,0
ADMCAVIER,CLAVIER,0
ADMSOUR,SOURIS,0
ADMPOUBE,POUBELLE,0
ADMTIRCAIS,TIRROIRE DE CAISSE,0
SDBTBLMAG,TABLEAU MAGIQUE,0
SDBCHAMAT,CHAISE MATERNEL,0
SDBTABMAT,TABLEAU MATERNEL,0
SDBELEBOIS,ELEMENT EN BOIS,0
SDBTABMONO,TABLE MONOPLACE,0
SDBIMPRIMA,IMPRIMANTE,0
SDBTABAFF,TABLEAU D'AFFICHAGE,0
SDBPCLONOV,PC ALL IN ONE LONOVO,0
SDBCLAVIER,CALAVIER,0
